threshold,accuracy,macro_f1
1.23,0.36523250302806887,0.34319085898199514
1.24,0.3661804202432988,0.3444066748074428
1.25,0.36728632366106695,0.3458224896438775
1.26,0.36818157880878405,0.3469665548126709
1.27,0.3689399125809679,0.3479342020450382
1.28,0.36954026015061353,0.34869932050371927
1.29,0.37044604771183315,0.3498521503288248
1.3,0.3728053083364053,0.3528461162175668
1.31,0.3740481331297067,0.3544182421390135
1.32,0.3755016061930591,0.35625244096776826
1.33,0.3771235978724525,0.3582937503817249
1.34,0.3788087840328611,0.36040843532489747
1.35,0.38040971088524933,0.3624116184134748
1.36,0.38181052188108905,0.36415982656274737
1.37,0.38340091631997475,0.3661394922472093
1.38,0.3844541576702301,0.36744753803252517
1.39,0.38546526936647535,0.36870103224701645
1.4,0.38701353415135076,0.37061623558916734
1.41,0.38817209963663174,0.37204606828911774
1.42,0.389488651324451,0.3736674572073434
1.43,0.3908157354257728,0.3752981555485203
1.44,0.39246932434567383,0.37732494702524144
1.45,0.39606087735004475,0.3817199369537866
1.46,0.3970614566327874,0.38327612048262494
1.47,0.39659803043867503,0.38336448693391045
1.48,0.3963452525146137,0.38349221061374816
1.49,0.39633472010111115,0.383799161065397
1.5,0.39551319184791195,0.383261418009852
1.51,0.39497603875928167,0.38297552710158655
1.52,0.3931118015693296,0.3815095379066019
1.53,0.39021538785612725,0.37911158875898654
1.54,0.3863394596871873,0.3758664149608782
1.55,0.3847385328347991,0.37455857737802356
1.56,0.384622676286271,0.3747443008395347
1.57,0.38504397282637315,0.375396259333625
1.58,0.38584443625256726,0.37647603117351225
1.59,0.3878666596450577,0.3789253829396847
1.6,0.3898994154510506,0.38139092468006086
1.61,0.3917636526410027,0.3836884134655747
1.62,0.39687187318974143,0.38957164884952666
1.63,0.4001263889620307,0.39329614128115703
1.64,0.4036231502448786,0.39727759855660494
1.65,0.4066775501606193,0.4008269702437012
1.66,0.40928958870925275,0.4039480541829342
1.67,0.41361841065880245,0.4090818641247106
1.68,0.41648322713149716,0.4125580785146807
1.69,0.4174838064142398,0.4139718512928117
1.7,0.4185791774185055,0.41538870845092607
1.71,0.4209911001105903,0.418183914518899
1.72,0.42454052346095106,0.4221222165059608
1.73,0.4277950392332403,0.42570991943054043
1.74,0.4298383274527358,0.4280215347267492
1.75,0.42961714676918217,0.4280663375103712
1.76,0.4286902943809574,0.4274807679413629
1.77,0.42922744746958763,0.42829665933956756
1.78,0.42980673021222815,0.42911623983737784
1.79,0.4294696929801464,0.4289871679634031
1.8,0.42984885986623833,0.4296280758211908
1.81,0.42784770130075306,0.42779256455575565
1.82,0.42716309442308703,0.42716298760259186
1.83,0.4319974722207594,0.43196049860878394
1.84,0.43788509136868714,0.43764470646562187
1.85,0.44467849807783455,0.44414115330236104
1.86,0.45057664963926486,0.4495948405601276
1.87,0.4561904260361262,0.45471725942256136
1.88,0.46297330033177103,0.46066678530123
1.89,0.46868186845015536,0.4653804947901146
1.9,0.47433777450102693,0.4699011536961756
1.91,0.47809784612143874,0.47209917583159433
