sample_index,time_sec,label_clean,ch1_raw_value,ch1_centered_value,ch1_scaled_value,ch1_filtered_value,raw_ch1_average_uv,raw_ch1_lower_threshold,raw_ch1_upper_threshold,raw_ch1_output_normalized,centered_ch1_average_uv,centered_ch1_lower_threshold,centered_ch1_upper_threshold,centered_ch1_output_normalized,scaled_ch1_average_uv,scaled_ch1_lower_threshold,scaled_ch1_upper_threshold,scaled_ch1_output_normalized,filtered_ch1_average_uv,filtered_ch1_lower_threshold,filtered_ch1_upper_threshold,filtered_ch1_output_normalized
2856,11.424,Jaws,-81900.63618429139,-3939.7408294368797,-88.05320753791426,-0.583416923060792,200.0,6.173893104282793,200.0,1.0,200.0,6.173893104282793,200.0,1.0,87.76685889266244,6.173893104282793,91.10125598326401,0.9607382476322386,1.1069836661972807,6.0,16.0,0.0
2857,11.428,Jaws,-81999.07326687257,-4038.177912018058,-90.2532763336036,-4.009431660905121,200.0,6.173954843831231,200.0,1.0,200.0,6.173954843831231,200.0,1.0,87.78606003803736,6.173954843831231,91.10125598326401,0.9609643082878168,1.1208425479486035,6.0,16.0,0.0
2858,11.432,Jaws,-81827.27775898908,-3866.382404134565,-86.41364673240753,-0.3408553862445841,200.0,6.17401658399707,200.0,1.0,200.0,6.17401658399707,200.0,1.0,87.77653040308127,6.17401658399707,91.10125598326401,0.9608520705052913,1.120230038926095,6.0,16.0,0.0
2859,11.436,Jaws,-81881.61484975992,-3920.71949490541,-87.62808071113591,2.549625762718771,200.0,6.174078324780318,200.0,1.0,200.0,6.174078324780318,200.0,1.0,87.75280922535772,6.174078324780318,91.10125598326401,0.9605727300703275,1.119066415021279,6.0,16.0,0.0
2860,11.44,Jaws,-81873.45646303374,-3912.5611081792304,-87.44574076780579,0.4889213720481966,200.0,6.174140066180979,200.0,1.0,200.0,6.174140066180979,200.0,1.0,87.75719937171934,6.174140066180979,91.10125598326401,0.9606243945124714,1.1189055926084353,6.0,16.0,0.0
2861,11.444,Jaws,-81767.50919431559,-3806.6138394610753,-85.07781931195503,1.500559117032923,200.0,6.1742018081990615,200.0,1.0,200.0,6.1742018081990615,200.0,1.0,87.76654316980166,6.1742018081990615,91.10125598326401,0.9607343873415377,1.1104516196902066,6.0,16.0,0.0
2862,11.448,Jaws,-81815.78896233905,-3854.8936074845406,-86.15687212727947,-0.5082783106864875,200.0,6.17426355083457,200.0,1.0,200.0,6.17426355083457,200.0,1.0,87.76706671024169,6.17426355083457,91.10125598326401,0.9607405233892499,1.1120741439795687,6.0,16.0,0.0
2863,11.452,Jaws,-82127.81931493513,-4166.923960080618,-93.13075050780179,-2.909506337664383,200.0,6.17432529408751,200.0,1.0,200.0,6.17432529408751,200.0,1.0,87.77395066755426,6.17432529408751,91.10125598326401,0.9608215522601737,1.1182043618873503,6.0,16.0,0.0
2864,11.456,Jaws,-81886.55458528455,-3925.659230430043,-87.73848380011145,0.737840887477228,200.0,6.17438703795789,200.0,1.0,200.0,6.17438703795789,200.0,1.0,87.78042698269216,6.17438703795789,91.10125598326401,0.960897781328657,1.1181182018318634,6.0,16.0,0.0
2865,11.46,Jaws,-81785.25647941309,-3824.361124558578,-85.47447113388421,1.7605090850958125,200.0,6.1744487824457135,200.0,1.0,200.0,6.1744487824457135,200.0,1.0,87.7741325079361,6.1744487824457135,91.10125598326401,0.9608236364348353,1.1201493128543616,6.0,16.0,0.0
2866,11.464,Jaws,-81763.88821171383,-3802.992856859317,-84.99689035080573,0.7309193324844696,200.0,6.174510527550988,200.0,1.0,200.0,6.174510527550988,200.0,1.0,87.76598366093445,6.174510527550988,91.10125598326401,0.9607276564710842,1.1184183309607825,6.0,16.0,0.0
2867,11.468,Jaws,-81993.17240633637,-4032.277051481855,-90.12139210061945,-0.3099427787011098,200.0,6.1745722732737205,200.0,1.0,200.0,6.1745722732737205,200.0,1.0,87.77576107838887,6.1745722732737205,91.10125598326401,0.960842755661682,1.1087632743152553,6.0,16.0,0.0
2868,11.472,Jaws,-82083.0711225356,-4122.175767681096,-92.13062840767249,-2.7117572206420153,200.0,6.174634019613916,200.0,1.0,200.0,6.174634019613916,200.0,1.0,87.79241845666392,6.174634019613916,91.10125598326401,0.9610388656690441,1.118889679722928,6.0,16.0,0.0
2869,11.476,Jaws,-81889.75088474166,-3928.8555298871506,-87.80992109297782,-0.533697856703343,200.0,6.174695766571581,200.0,1.0,200.0,6.174695766571581,200.0,1.0,87.78469923254247,6.174695766571581,91.10125598326401,0.9609479444091549,1.1140220695851355,6.0,16.0,0.0
2870,11.48,Jaws,-81732.1934380762,-3771.2980832216854,-84.28851216000466,1.6508936376680983,200.0,6.174757514146722,200.0,1.0,200.0,6.174757514146722,200.0,1.0,87.78171585133269,6.174757514146722,91.10125598326401,0.9609127870362106,1.1178818878076677,6.0,16.0,0.0
2871,11.484,Jaws,-81950.7934988491,-3989.898143994593,-89.17422351827915,-0.36197671265973175,200.0,6.174819262339345,200.0,1.0,200.0,6.174819262339345,200.0,1.0,87.76697479092778,6.174819262339345,91.10125598326401,0.9607391841566018,1.1168284839202511,6.0,16.0,0.0
2872,11.488,Jaws,-81953.52041167265,-3992.625056818142,-89.23517001988547,0.6783550472924614,200.0,6.1748810111494565,200.0,1.0,200.0,6.1748810111494565,200.0,1.0,87.77335718850583,6.1748810111494565,91.10125598326401,0.9608143077359549,1.1151243059990474,6.0,16.0,0.0
2873,11.492,Jaws,-81775.91345023077,-3815.018095376261,-85.26565443165943,1.9145875019858214,200.0,6.174942760577062,200.0,1.0,200.0,6.174942760577062,200.0,1.0,87.76395743953678,6.174942760577062,91.10125598326401,0.9607035980123565,1.1163353569896945,6.0,16.0,0.0
2874,11.496,Jaws,-81844.19802954175,-3883.3026746872347,-86.7918147792597,-0.6309147029352857,200.0,6.175004510622168,200.0,1.0,200.0,6.175004510622168,200.0,1.0,87.75751309633415,6.175004510622168,91.10125598326401,0.9606276878003145,1.1093736173364142,6.0,16.0,0.0
2875,11.5,Jaws,-81930.5875218615,-3969.692167006986,-88.72261993260614,-1.0099273502452597,200.0,6.175066261284781,200.0,1.0,200.0,6.175066261284781,200.0,1.0,87.7446943485373,6.175066261284781,91.10125598326401,0.96047671930514,1.110183248760592,6.0,16.0,0.0
2876,11.504,Jaws,-82006.06936288708,-4045.174008032569,-90.4096390795279,-0.0014613858021662596,200.0,6.175128012564906,200.0,1.0,200.0,6.175128012564906,200.0,1.0,87.75171618482072,6.175128012564906,91.10125598326401,0.9605593722629279,1.1069472228825883,6.0,16.0,0.0
2877,11.508,Jaws,-81911.47678035221,-3950.5814254977013,-88.29549485987361,-1.238656810616745,200.0,6.175189764462551,200.0,1.0,200.0,6.175189764462551,200.0,1.0,87.74987779854274,6.175189764462551,91.10125598326401,0.9605376966821133,1.1092438517597352,6.0,16.0,0.0
2878,11.512,Jaws,-81863.46523326222,-3902.5698784077103,-87.22243678241232,-0.7780315908113654,200.0,6.1752515169777205,200.0,1.0,200.0,6.1752515169777205,200.0,1.0,87.76054243720087,6.1752515169777205,91.10125598326401,0.9606632436430077,1.1085837263629168,6.0,16.0,0.0
2879,11.516,Jaws,-81775.30995313049,-3814.41459827598,-85.25216627146816,1.3517483643478823,200.0,6.175313270110421,200.0,1.0,200.0,6.175313270110421,200.0,1.0,87.74930829844577,6.175313270110421,91.10125598326401,0.960530933449396,1.1098468044661267,6.0,16.0,0.0
2880,11.52,Jaws,-81953.16278376136,-3992.2674289068527,-89.22717703606816,1.1825293293580101,200.0,6.17537502386066,200.0,1.0,200.0,6.17537502386066,200.0,1.0,87.74684446118411,6.17537502386066,91.10125598326401,0.9605018931309836,1.1117775124443696,6.0,16.0,0.0
2881,11.524,Jaws,-81861.83355591698,-3900.9382010624686,-87.18596879374617,-0.13426612514272002,200.0,6.175436778228442,200.0,1.0,200.0,6.175436778228442,200.0,1.0,87.74562153466007,6.175436778228442,91.10125598326401,0.960487464471759,1.1111962700382652,6.0,16.0,0.0
2882,11.528,Jaws,-81887.44865506276,-3926.553300208252,-87.75846625965443,-1.188851146292759,200.0,6.175498533213774,200.0,1.0,200.0,6.175498533213774,200.0,1.0,87.75587253640566,6.175498533213774,91.10125598326401,0.9606081411893681,1.1153683132395318,6.0,16.0,0.0
2883,11.532,Jaws,-81803.0037645106,-3842.1084096560953,-85.87112295581372,-0.012920108632794941,200.0,6.175560288816662,200.0,1.0,200.0,6.175560288816662,200.0,1.0,87.73962280030527,6.175560288816662,91.10125598326401,0.9604167719149043,1.1098687339896403,6.0,16.0,0.0
2884,11.536,Jaws,-81928.6876235828,-3967.7922687282844,-88.68015720607715,1.8536387426723024,200.0,6.175622045037112,200.0,1.0,200.0,6.175622045037112,200.0,1.0,87.73807415969067,6.175622045037112,91.10125598326401,0.9603985078754943,1.1155965399388894,6.0,16.0,0.0
2885,11.54,Jaws,-81908.01225996164,-3947.116905107134,-88.21806282914443,-0.6951309312490579,200.0,6.175683801875131,200.0,1.0,200.0,6.175683801875131,200.0,1.0,87.74137126551528,6.175683801875131,91.10125598326401,0.9604373025527284,1.1125992418098785,6.0,16.0,0.0
