mode,channel,mean,median,std,min,max,iqr,mad,abs_p95,abs_p99,skew,trend_slope_per_sec,median_first_decile,median_last_decile,median_drift,raw_fraction_near_nominal_rail,flag_suspicious_saturation,flag_near_constant,flag_unusually_noisy,flag_extreme_skew,flag_large_drift
centered,ch3,-217.1710388360108,0.0,2261.0754090156206,-4664.954354161542,4992.496817409614,3843.455102259537,1896.422582438303,4196.456202442194,4509.356037897595,-0.2023882414597243,20.0407035892952,-4129.32832590679,2379.343197267437,6508.671523174227,0.0,False,False,False,False,True
centered,ch4,-457.01549870918586,0.0,3694.4461067698758,-8255.661518056557,5729.243842273223,,,7010.19549491352,7691.114567651107,-0.2739391600134954,,-7010.334075729137,4993.424414804511,12003.758490533648,0.0,False,False,False,False,True
centered,ch5,67.67787017000046,0.0,1136.3910708502106,0.0,29023.13667811593,,,0.0,0.0,19.008684936007523,,0.0,0.0,0.0,0.9955448360120489,True,False,False,True,False
centered,ch6,204.29356571478684,0.0,3288.6290998852173,-5556.1966367002315,6785.296712553114,,,5116.47076803098,5383.448050433171,0.08633736381859523,,-4856.709969843621,4823.841729622101,9680.551699465723,0.0,False,False,False,False,True
centered,ch7,2277.8361399579044,0.0,6834.056543847033,-5525.105360162903,16444.983058569793,,,14955.63715167488,15762.49042302256,0.9016757653993646,,-4876.591846536619,14790.439878754602,19667.03172529122,0.0,False,False,False,False,True
centered,ch8,-129.80412919504664,0.0,2862.4069820454547,-5157.128591195178,4131.56350035232,,,4697.728717056363,4902.055847889885,-0.15264602205722216,,-4697.744363277481,3804.8704033935574,8502.614766671039,0.0,False,False,False,False,True
scaled,ch1,23.578855809215497,0.0,86.89711861839673,-101.44245455473111,188.70535581771793,79.66407146025543,39.99439321391486,178.90246072738887,183.4290872876748,0.7563022920536929,0.7447278352542575,-85.25116714849074,178.90271050813314,264.1538776566239,0.0,False,False,False,False,True
scaled,ch2,6.38818642687306,-1.6261764070740758e-13,113.2872319917257,-207.55505968541644,246.31653514552525,201.05526515755236,97.24688739292462,187.39113443164632,198.2181305735565,0.07731968415039092,0.9872221621300562,-147.0271906065573,142.30983146993276,289.33702207649003,0.0,False,False,False,False,True
scaled,ch3,-4.853772717984839,0.0,50.535035391499115,-104.26172981551046,111.58230386910486,85.90122153550064,42.38504471749607,93.79079612458303,100.78410744701127,-0.20238824145972428,0.44790972522074807,-92.29048808401676,53.17832045892722,145.46880854294398,0.0,False,False,False,False,True
scaled,ch4,-10.214296396150313,0.0,82.57087048630672,-184.51403492856403,128.0485998748065,,,156.67786931131715,171.8964105870022,-0.2739391600134951,,-156.6809665925462,111.60303567088081,268.28400226342706,0.0,False,False,False,False,True
scaled,ch5,1.5126003982995107,0.0,25.398340433502206,0.0,648.667104755891,,,0.0,0.0,19.00868493600753,,0.0,0.0,0.0,0.9955448360120489,True,False,False,True,False
scaled,ch6,4.565961193725481,0.0,73.50086038243461,-124.18099483025017,151.6513815255621,,,114.3531216654924,120.32006392718137,0.08633736381859497,,-108.54746782600492,107.81286265705396,216.36033048305887,0.0,False,False,False,False,True
scaled,ch7,50.90963772805915,0.0,152.74116375498122,-123.48610479964087,367.54537135903485,,,334.2584903399336,352.2916609545542,0.9016757653993646,,-108.99182777009344,330.5663312901653,439.55815906025873,0.0,False,False,False,False,True
scaled,ch8,-2.901122287509292,0.0,63.974796048715916,-115.26182401321222,92.34044423287435,,,104.99423682620973,109.56094820033891,-0.15264602205722205,,-104.9945865192517,85.038853515846,190.0334400350977,0.0,False,False,False,False,True
filtered,ch1,4.561442003650955e-05,0.006865746754014803,0.9985534040423584,-9.167572658256217,8.226220004336119,0.4216525363316109,0.21083960069487043,2.3610045761279834,3.9129481821611205,-0.18359450386047452,-5.549373683995481e-07,0.007871557394669378,0.0020410383007065727,-0.005830519093962806,0.0,False,False,False,False,False
filtered,ch2,-0.0007580445707660289,0.0022261585621687965,1.3294109420822011,-74.1141730808247,61.47220634540892,0.2788507910563901,0.13938201105236708,1.1169799486461627,1.9318783455040565,-2.5086752632896756,1.1623830810395332e-05,0.00034172600663124816,0.0020198719309190948,0.0016781459242878466,0.0,False,False,False,True,False
filtered,ch3,3.155504831155691e-05,0.0035570093577397648,0.8192380218860901,-10.320917400596507,9.580666693731919,0.36810248950348656,0.18408512292843632,1.8366441268942013,3.2695426141788335,-0.23491218085607843,-2.6495206258004283e-07,0.006223186809593666,-0.0003714377345708829,-0.006594624544164549,0.0,False,False,False,False,False
filtered,ch4,,,,,,,,,,,,,,,0.0,False,False,False,False,False
filtered,ch5,,,,,,,,,,,,,,,0.9955448360120489,True,False,False,False,False
filtered,ch6,,,,,,,,,,,,,,,0.0,False,False,False,False,False
filtered,ch7,,,,,,,,,,,,,,,0.0,False,False,False,False,False
filtered,ch8,,,,,,,,,,,,,,,0.0,False,False,False,False,False
