mode,run_time_sec,wall_time_utc,prompt_id,target_class,ground_truth_state,left_confidence,right_confidence,jaw_confidence,direction_prediction,direction_margin,direction_agreed
REPLAY,2.8004512786865234,,,,REST,0.7216312837342134,0.2783687162657867,0.2967216491680795,LEFT,0.4432625674684267,True
REPLAY,2.900753974914551,,,,REST,0.6962231614498903,0.30377683855010973,0.2906077225910325,LEFT,0.39244632289978054,True
REPLAY,3.001056671142578,,,,REST,0.6617620926410914,0.3382379073589085,0.28522988385859527,LEFT,0.3235241852821829,True
REPLAY,3.1013593673706055,,,,REST,0.6298850603120749,0.37011493968792514,0.295039945426406,LEFT,0.2597701206241498,True
REPLAY,3.201662063598633,,,,REST,0.6625179801839314,0.3374820198160686,0.2998284374480965,LEFT,0.32503596036786275,True
REPLAY,3.30196475982666,,,,REST,0.682848651167241,0.317151348832759,0.29782600941486526,LEFT,0.36569730233448206,True
REPLAY,3.4022674560546875,,,,REST,0.6166910217149414,0.3833089782850586,0.3063190768215389,LEFT,0.23338204342988278,True
REPLAY,3.502570152282715,,,,REST,0.6436239374609332,0.3563760625390669,0.2847622849089293,LEFT,0.28724787492186626,True
REPLAY,3.602872848510742,,,,REST,0.6155926003276244,0.3844073996723756,0.30238612330591463,LEFT,0.23118520065524883,True
REPLAY,3.7031755447387695,,,,REST,0.5691975017412909,0.43080249825870903,0.308199563710267,LEFT,0.13839500348258188,False
REPLAY,3.803478240966797,,,,REST,0.61014208735217,0.38985791264783,0.3042867654401257,LEFT,0.22028417470434003,True
REPLAY,3.903780937194824,,,,REST,0.661882081420877,0.33811791857912304,0.315411624161698,LEFT,0.32376416284175397,True
REPLAY,4.004083633422852,,,,REST,0.70777754676313,0.29222245323687007,0.29925184138033367,LEFT,0.4155550935262599,True
REPLAY,4.104386329650879,,,,REST,0.7206106392390161,0.2793893607609839,0.3055625988355365,LEFT,0.4412212784780322,True
REPLAY,4.204689025878906,,,,REST,0.6654154250343914,0.33458457496560856,0.2916434825448765,LEFT,0.3308308500687829,True
REPLAY,4.304991722106934,,,,REST,0.6411966216121836,0.35880337838781634,0.2928066700016333,LEFT,0.28239324322436726,True
REPLAY,4.405294418334961,,,,REST,0.6692079105420021,0.3307920894579978,0.27926889290357326,LEFT,0.3384158210840043,True
REPLAY,4.505597114562988,,,,REST,0.6631442180437237,0.33685578195627625,0.29626423226331566,LEFT,0.32628843608744745,True
REPLAY,4.605899810791016,,,,REST,0.6613271182410692,0.3386728817589309,0.2974219199441457,LEFT,0.32265423648213826,True
REPLAY,4.706202507019043,,,,REST,0.6837534609657689,0.316246539034231,0.3052899411571264,LEFT,0.36750692193153794,True
REPLAY,4.80650520324707,,,,REST,0.702660192155377,0.29733980784462305,0.30009544488009077,LEFT,0.40532038431075396,True
REPLAY,4.906807899475098,,,,REST,0.7025346866491695,0.29746531335083054,0.29816688856426843,LEFT,0.405069373298339,True
REPLAY,5.007110595703125,,,,REST,0.6773375993025572,0.3226624006974428,0.29603238216009065,LEFT,0.35467519860511443,True
REPLAY,5.107413291931152,,,,REST,0.6682733670726592,0.33172663292734084,0.2906988246655221,LEFT,0.3365467341453183,True
REPLAY,5.20771598815918,,,,REST,0.7045854712580981,0.2954145287419018,0.2952992289207952,LEFT,0.4091709425161963,True
REPLAY,5.308018684387207,,,,REST,0.708883901216465,0.29111609878353495,0.28472383211581154,LEFT,0.4177678024329301,True
REPLAY,5.408321380615234,,,,REST,0.6204632756373629,0.379536724362637,0.27929230145312434,LEFT,0.2409265512747259,True
REPLAY,5.508624076843262,,,,REST,0.6236120200766957,0.37638797992330425,0.3054586186167264,LEFT,0.24722404015339144,True
REPLAY,5.608926773071289,,,,REST,0.7229381965960676,0.2770618034039324,0.2871509826184033,LEFT,0.44587639319213523,True
REPLAY,5.709229469299316,,,,REST,0.7314787206016302,0.26852127939836984,0.29674980755809033,LEFT,0.4629574412032604,True
REPLAY,5.809532165527344,,,,REST,0.6730686606316012,0.32693133936839874,0.30107703589610335,LEFT,0.34613732126320246,True
