sample_index,run_time_sec,Channel_1,Channel_3,Channel_4,Channel_6,Channel_7,Channel_8
24,0.09628486633300781,-3248.222559,-20583.632062,-18994.557142,-56232.675163,-43829.736868,-35384.353743
25,0.1002967357635498,-3223.725048,-20590.181123,-18986.08583,-56177.175781,-43816.616394,-35367.679342
26,0.1043086051940918,-3260.203095,-20593.08685,-19027.145985,-56165.865799,-43829.133371,-35358.068092
27,0.10832047462463379,-3249.653071,-20585.889588,-19080.38784,-56174.761793,-43863.398595,-35363.566621
28,0.11233234405517578,-3310.807444,-20582.179199,-19152.449864,-56173.912427,-43875.602648,-35354.022426
29,0.11634421348571777,-3419.146349,-20583.676765,-19214.900638,-56175.857028,-43885.415064,-35348.590952
30,0.12035608291625977,-3501.914859,-20576.188931,-19285.286282,-56195.839488,-43886.376189,-35341.550152
31,0.12436795234680177,-3526.769999,-20573.082039,-19378.247187,-56222.818044,-43871.91461,-35333.212952
32,0.12837982177734375,-3522.858444,-20546.438759,-19423.040083,-56226.349619,-43869.411215,-35336.476306
33,0.13239169120788574,-3563.069232,-20525.919858,-19447.448188,-56239.470093,-43892.522918,-35353.82126
34,0.13640356063842773,-3632.985489,-20518.499079,-19484.686194,-56255.518646,-43907.051552,-35359.498603
35,0.14041543006896973,-3668.122431,-20503.858686,-19521.097186,-56268.080326,-43909.532596,-35357.710464
36,0.14442729949951172,-3658.041794,-20487.161933,-19573.288509,-56273.936483,-43910.940756,-35364.751263
37,0.1484391689300537,-3612.846567,-20476.88013,-19617.567315,-56300.333893,-43924.888244,-35378.877566
38,0.1524510383605957,-3596.686256,-20473.79559,-19671.859702,-56311.621524,-43931.996099,-35381.224499
39,0.1564629077911377,-3615.819349,-20471.269843,-19707.0637,-56335.873167,-43956.694777,-35402.12338
40,0.1604747772216797,-3648.430544,-20468.878206,-19733.774034,-56345.707935,-43967.915352,-35411.891092
41,0.16448664665222168,-3657.751221,-20449.186319,-19741.753607,-56326.776007,-43958.482916,-35401.028144
42,0.16849851608276367,-3658.175905,-20424.286476,-19765.357049,-56310.235716,-43939.014547,-35379.123435
43,0.17251038551330566,-3648.743468,-20405.667473,-19758.986802,-56293.158983,-43937.360518,-35383.459673
44,0.17652225494384766,-3688.686036,-20400.593627,-19742.982953,-56309.140481,-43947.64232,-35395.306098
45,0.18053412437438965,-3720.313754,-20405.287493,-19732.164709,-56335.739057,-43962.573285,-35406.727839
46,0.18454599380493164,-3750.935644,-20391.518818,-19716.965522,-56327.759484,-43966.931876,-35410.862912
47,0.18855786323547363,-3790.319418,-20372.206911,-19719.2454,-56315.1531,-43955.800707,-35402.458656
48,0.19256973266601562,-3796.063816,-20350.570422,-19718.73131,-56308.715798,-43949.810439,-35401.788104
49,0.19658160209655762,-3781.222258,-20341.562669,-19709.075357,-56315.711894,-43954.973692,-35411.958148
50,0.2005934715270996,-3770.73929,-20321.155527,-19705.610836,-56319.265821,-43943.28373,-35413.031031
51,0.2046053409576416,-3782.384548,-20304.503477,-19715.78088,-56307.888783,-43931.593768,-35409.767677
52,0.2086172103881836,-3777.109537,-20286.912654,-19728.700188,-56312.001504,-43925.268224,-35399.262357
53,0.21262907981872559,-3756.344766,-20256.916613,-19733.774034,-56319.221117,-43911.410142,-35384.487854
54,0.21664094924926758,-3755.361289,-20203.294778,-19728.364912,-56326.55249,-43908.95145,-35385.918365
55,0.22065281867980957,-3781.334016,-20167.219063,-19750.716657,-56343.47276,-43908.68323,-35391.841578
56,0.22466468811035156,-3772.549781,-20131.970362,-19753.376514,-56341.326993,-43911.63366,-35405.319679
57,0.22867655754089355,-3759.116382,-20097.794544,-19714.104499,-56361.063583,-43922.474256,-35425.70447
58,0.23268842697143555,-3754.511923,-20074.347565,-19712.249304,-56363.522275,-43904.257584,-35412.76281
