start_sample,end_sample,center_sample,start_time_sec,end_time_sec,center_time_sec,mapped_label,aggregate_rms,Channel_1_rms,Channel_3_rms,Channel_7_rms,Channel_8_rms,top_rms_window
15936,16433,16185,63.93695068359375,65.93096828460693,64.9359655380249,ACTIVE,0.3139058096951172,0.27653346080556934,0.40126578620914016,0.35096348688259477,0.2268605048831647,0
16185,16682,16434,64.9359655380249,66.92998313903809,65.93498039245605,ACTIVE,0.28749046231373976,0.20792053840419647,0.3621290104860823,0.35251937810571016,0.22739292225897004,0
16434,16931,16683,65.93498039245605,67.92899799346924,66.9339952468872,ACTIVE,0.2684995957475838,0.17643631107900912,0.2575361508279197,0.34163632949980505,0.2983895915836013,0
16683,17180,16932,66.9339952468872,68.92801284790039,67.93301010131836,ACTIVE,0.33454062467665807,0.31826778338288403,0.330927476648489,0.3474965270297905,0.3414707116454687,0
16932,17429,17181,67.93301010131836,69.92702770233154,68.93202495574951,ACTIVE,0.31627459152036824,0.3252416182499416,0.34695129243347517,0.29446033710667807,0.29844511829137804,0
17181,17678,17430,68.93202495574951,70.9260425567627,69.93103981018066,ACTIVE,0.25959925693489655,0.23706805633047148,0.3007844030624673,0.26613818976218084,0.2344063785844666,0
17430,17927,17679,69.93103981018066,71.92505741119385,70.93005466461182,ACTIVE,0.29604057154785196,0.26630460005702333,0.381338497135999,0.32027714399178137,0.2162420450066043,0
17679,18176,17928,70.93005466461182,72.924072265625,71.92906951904297,REST,0.2999210763525652,0.23710030937734644,0.34376439726869606,0.3394888545417898,0.2793307442224286,0
17928,18425,18177,71.92906951904297,73.92308712005615,72.92808437347412,REST,0.2846662558095456,0.25281944792256333,0.32820593527870195,0.29419948970253484,0.2634401503343822,0
18177,18674,18426,72.92808437347412,74.9221019744873,73.92709922790527,REST,0.3214823848259922,0.2939707244132479,0.3475719728747842,0.438864350404664,0.20552249161127262,0
18426,18923,18675,73.92709922790527,75.92111682891846,74.92611408233643,REST,0.3555451581097424,0.2895345367893999,0.3358919606114124,0.5360477421417579,0.2607063928963993,0
18675,19172,18924,74.92611408233643,76.92013168334961,75.92512893676758,REST,0.3358556928167098,0.27004835291261725,0.34740138838450063,0.4161506484652794,0.3098223815044419,0
18924,19421,19173,75.92512893676758,77.91914653778076,76.92414379119873,REST,0.30754453460362025,0.2459692015984876,0.3109265623569193,0.3402722107188218,0.3330101637402523,0
19173,19670,19422,76.92414379119873,78.91816139221191,77.92315864562988,REST,0.3189213311132958,0.23545164827175072,0.30282515802412385,0.4044891165741786,0.33291940158313016,0
19422,19919,19671,77.92315864562988,79.91717624664307,78.92217350006104,REST,0.32794275935966044,0.30080577919946655,0.3492375018478309,0.3710583270636238,0.29066942932772055,0
19671,20168,19920,78.92217350006104,80.91619110107422,79.92118835449219,REST,0.31665579322308635,0.33050815600887756,0.3541869883538273,0.3066563325191708,0.2752716960104698,0
19920,20417,20169,79.92118835449219,81.91520595550537,80.92020320892334,REST,0.3378712497870713,0.28091928736965804,0.355739668782224,0.3240780658186654,0.39074797717773757,0
20169,20666,20418,80.92020320892334,82.91422080993652,81.91921806335449,REST,0.38691562473104746,0.2657008665053019,0.38417380307080345,0.413605361041962,0.4841824683061223,0
20418,20915,20667,81.91921806335449,83.91323566436768,82.91823291778564,REST,0.39312187914346325,0.31053966085310025,0.41797982833182595,0.4008337070618303,0.4431343203270964,0
20667,21164,20916,82.91823291778564,84.91225051879883,83.9172477722168,REST,0.34666242227061517,0.28541490197773617,0.392710063483978,0.3432071644402166,0.36531755918053005,0
20916,21413,21165,83.9172477722168,85.91126537322998,84.91626262664795,REST,0.3116340794638853,0.24514533136655164,0.30772540114717484,0.36562449330947255,0.32804109203234233,0
21165,21662,21414,84.91626262664795,86.91028022766113,85.9152774810791,REST,0.3521095519993772,0.35573703030121934,0.34980014049859626,0.38192072653019027,0.320980310667503,0
21414,21911,21663,85.9152774810791,87.90929508209229,86.91429233551025,REST,0.3609927596005853,0.3558587649083758,0.3698710571503373,0.40514445720560194,0.3130967591380259,0
21663,22160,21912,86.91429233551025,88.90830993652344,87.9133071899414,REST,0.40227160709459775,0.33330171134408637,0.37449557742354767,0.4709801562230287,0.4303089833877284,0
21912,22409,22161,87.9133071899414,89.90732479095459,88.91232204437256,REST,0.38747275922174146,0.3123610871071391,0.3496384691914677,0.4544860739923847,0.43340540659597454,0
22161,22658,22410,88.91232204437256,90.90633964538574,89.91133689880371,ACTIVE,0.3004937506528792,0.23105644515942245,0.32766247445910457,0.3230033489246056,0.32025273406838417,0
22410,22907,22659,89.91133689880371,91.9053544998169,90.91035175323486,ACTIVE,0.35004469779802977,0.3946301347454211,0.4222102547677691,0.28696110926661916,0.2963772924123098,0
22659,23156,22908,90.91035175323486,92.90436935424805,91.90936660766602,ACTIVE,0.40349271051640917,0.5061252704875135,0.4587067533035058,0.33407770214771054,0.3150611161269068,0
22908,23405,23157,91.90936660766602,93.9033842086792,92.90838146209717,ACTIVE,0.4141163421411218,0.40360196986574154,0.4595658076134376,0.4120269371752174,0.3812706539100907,0
23157,23654,23406,92.90838146209717,94.90239906311035,93.90739631652832,ACTIVE,0.34342317714408266,0.29326239456897507,0.4018826260058152,0.3605632922977158,0.31798439570382453,0
23406,23903,23655,93.90739631652832,95.9014139175415,94.90641117095947,ACTIVE,0.287073638014573,0.31333661276424746,0.32176432181852865,0.28609499992453125,0.22709861755098468,0
23655,24152,23904,94.90641117095947,96.90042877197266,95.90542602539062,ACTIVE,0.3167126612112732,0.33802518120143865,0.36095106583516584,0.32822517369863896,0.2396492241098493,0
23904,24401,24153,95.90542602539062,97.89944362640381,96.90444087982178,ACTIVE,0.28612390894668804,0.3003865404719101,0.3268835061875758,0.2801068194387759,0.23711876968849033,0
